"","cntry","regionde","intewde","regionfr","cedition","cseqno","essround","idno","dweight","pspwght","pweight","tvpol","rdpol","nwsppol","polintr","psppsgv","psppsgva","psppipl","psppipla","polcmpl","contplt","wrkprty","badge","clsprty","prtdgcl","mmbprty","lrscale","trstprl","trstplt","trstprt","trstep","stflife","stfeco","stfgov","stfdem","prtyban","euftf","imdfetn","impcntr","imbgeco","imueclt","imwbcnt","imwbcrm","noimbro","qfimcmt","imptrad","ipstrgv","impsafe","jbscr","optftr","fltanx","nhpftr","lfwrs","uemplwk","acetalv","eduyrs","blue_c","uemp5yr","gndr","agea","vote","vote_rrp","prtvade1","prtvbde1","prtvcde1","prtvdde1","prtvede1","prtvde2","prtvade2","prtvbde2","prtvcde2","prtvdde2","prtvede2","prtvtfr","prtvtafr","prtvtbfr","prtvtcfr","prtclde","prtclade","prtclbde","prtclcde","prtcldde","prtclede","prtclafr","prtclbfr","prtclcfr","prtcldfr","prtclefr","prtmbde","prtmbade","prtmbbde","prtmbcde","prtmbafr","prtmbbfr","prtmbcfr"
"17456","DE",NA,2,NA,1,84331,7,10000311,1.2278082920193,1.19616503282685,2.304125911,1,NA,NA,3,3,NA,3,NA,NA,0,0,0,0,NA,NA,4,1,1,2,3,3,4,1,2,NA,4,2,3,6,4,5,4,8,10,4,3,3,NA,5,NA,NA,NA,NA,2,14,0,0,0,41,1,0,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17457","DE",NA,2,NA,1,84332,7,10000321,1.2278082920193,0.676280490803526,2.304125911,2,NA,NA,2,4,NA,2,NA,NA,0,0,0,1,2,NA,3,5,5,6,5,7,7,4,7,NA,4,1,1,5,7,7,4,40,7,3,3,4,NA,5,NA,NA,NA,NA,2,17,0,NA,0,78,1,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17458","DE",NA,2,NA,1,84333,7,10000331,1.2278082920193,1.4431510446742,2.304125911,2,NA,NA,1,8,NA,8,NA,NA,0,0,0,1,2,NA,7,9,8,8,8,9,9,8,10,NA,8,1,1,8,9,8,4,10,4,4,4,4,NA,5,NA,NA,NA,NA,1,17,1,0,1,54,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17459","DE",NA,2,NA,1,84334,7,10000341,1.2278082920193,1.3339803691149,2.304125911,2,NA,NA,1,3,NA,4,NA,NA,0,0,0,1,2,NA,6,5,4,3,3,8,8,6,7,NA,7,1,1,6,6,5,2,30,8,4,4,0,NA,5,NA,NA,NA,NA,2,12,0,0,1,75,1,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17460","DE",NA,2,NA,1,84335,7,10000391,1.2278082920193,1.21549321330092,2.304125911,1,NA,NA,2,8,NA,5,NA,NA,1,0,0,0,NA,NA,2,5,7,6,7,10,5,7,4,NA,10,1,2,5,10,5,4,5,10,4,5,4,NA,5,NA,NA,NA,NA,2,20,0,NA,1,57,1,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17461","DE",NA,2,NA,1,84336,7,10000411,1.2278082920193,0.92233996635905,2.304125911,2,NA,NA,1,4,NA,7,NA,NA,0,0,0,1,2,NA,2,5,5,6,5,8,7,4,6,NA,8,1,1,8,7,8,5,5,5,1,2,3,NA,5,NA,NA,NA,NA,3,22,0,NA,1,35,1,0,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17462","DE",NA,2,NA,1,84337,7,10000491,1.2278082920193,0.776989543459196,2.304125911,1,NA,NA,4,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,1,8,8,8,NA,NA,5,4,4,4,NA,5,NA,NA,NA,NA,2,10,0,NA,0,25,NA,0,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17463","DE",NA,1,NA,1,84338,7,10000531,0.531346194430172,0.386475685782544,2.304125911,1,NA,NA,3,4,NA,7,NA,NA,0,0,0,0,NA,NA,5,7,3,2,2,7,7,7,4,NA,3,3,3,3,4,4,7,10,10,5,3,5,NA,5,NA,NA,NA,NA,1,19,0,NA,0,48,0,0,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17464","DE",NA,2,NA,1,84339,7,10000541,1.2278082920193,1.42487369309423,2.304125911,1,NA,NA,3,4,NA,5,NA,NA,0,0,0,0,NA,NA,7,7,6,6,5,7,6,6,6,NA,6,3,4,4,5,4,4,30,6,4,4,3,NA,5,NA,NA,NA,NA,2,12,0,NA,1,33,0,0,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17465","DE",NA,2,NA,1,84340,7,10000571,1.2278082920193,0.876474769640543,2.304125911,2,NA,NA,2,2,NA,8,NA,NA,0,0,0,0,NA,NA,4,3,1,1,0,9,6,3,4,NA,1,3,3,2,6,6,2,30,10,3,2,2,NA,5,NA,NA,NA,NA,2,16,0,NA,0,43,1,0,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17466","DE",NA,2,NA,1,84341,7,10000591,1.2278082920193,1.19676595049665,2.304125911,1,NA,NA,2,5,NA,5,NA,NA,0,0,0,1,4,NA,10,5,4,4,5,5,8,8,8,NA,7,2,2,0,10,5,5,40,8,4,4,5,NA,5,NA,NA,NA,NA,1,13,0,NA,0,67,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
